Lot Name,Rate,Start Date,Event
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
FF2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
P1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
P2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
FF2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
FF2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B-RV,80.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
FF2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
FF2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
FF2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Terrapin Trail Garage,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
L Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
MV Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B-RV,80.00 ,9/9/2023,UMD vs Charlotte
L Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
CC1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
C1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
XX1/XVL,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
Regents Drive Garage,20.00 ,9/9/2023,UMD vs Charlotte
FF2 Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
11B Lot,20.00 ,9/9/2023,UMD vs Charlotte
GG1 Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
4B Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
A Lot,20.00 ,9/9/2023,UMD vs Charlotte
PH Lot,20.00 ,9/9/2023,UMD vs Charlotte
